iter	RMSE
0	0.1849302504
1	0.1776307735
2	0.1710382951
3	0.1651245597
4	0.1597843916
5	0.155101108
6	0.1509810117
7	0.1472088412
8	0.1437909832
9	0.1408500788
10	0.1381970824
11	0.1357924072
12	0.1337386357
13	0.1318287808
14	0.1301601045
15	0.1285584057
16	0.1271369887
17	0.1258669779
18	0.1248207614
19	0.1237328897
20	0.1227249923
21	0.1218660669
22	0.1210129554
23	0.1202679184
24	0.1196199099
25	0.1191028499
26	0.1185215613
27	0.1179797393
28	0.1175692379
29	0.1170436
30	0.1165308957
31	0.1161650247
32	0.1157443611
33	0.1152697812
34	0.1148681964
35	0.1145962569
36	0.114273754
37	0.1140313249
38	0.1137062162
39	0.1134473331
40	0.1131878821
41	0.1129386016
42	0.1127578182
43	0.1125134872
44	0.1123050074
45	0.11212143
46	0.1119603454
47	0.1118158123
48	0.1115656621
49	0.1114598699
50	0.1113598881
51	0.1112419892
52	0.1110987122
53	0.1110007163
54	0.1107870398
55	0.1106648621
56	0.1105941149
57	0.1105189172
58	0.1104157643
59	0.1102955198
60	0.1101861886
61	0.1101248557
62	0.1100255818
63	0.1099600976
64	0.1098814665
65	0.1097750649
66	0.1096595794
67	0.1095924576
68	0.109500516
69	0.109415337
70	0.1093634459
71	0.109299972
72	0.1092025124
73	0.1091296967
74	0.1090273647
75	0.1089411936
76	0.108880468
77	0.1088363855
78	0.108777309
79	0.1086440323
80	0.1085861387
81	0.1085265373
82	0.1084845736
83	0.1083919186
84	0.1083391708
85	0.108293843
86	0.1082547658
87	0.1082083708
88	0.1081400246
89	0.1081014914
90	0.1080504808
91	0.1079913807
92	0.1079623179
93	0.1079270258
94	0.1078694458
95	0.1078356557
96	0.1077950298
97	0.1077651155
98	0.1077220983
99	0.1076926941
100	0.1076304362
101	0.1075841705
102	0.1075623879
103	0.1075245438
104	0.1074937687
105	0.1074412069
106	0.1074011047
107	0.1073501727
108	0.1073203775
109	0.1072807121
110	0.1072030921
111	0.1071297789
112	0.1071011095
113	0.1070352993
114	0.1070080122
115	0.1069802048
116	0.106906814
117	0.1068758559
118	0.1068323641
119	0.106767846
120	0.1067368754
121	0.1067080476
122	0.106683024
123	0.1066535831
124	0.1066266064
125	0.1065658372
126	0.10653518
127	0.106469878
128	0.1064544227
129	0.1064198602
130	0.1063905746
131	0.1063030898
132	0.1062774367
133	0.1062358185
134	0.1062000892
135	0.1061686945
136	0.1060728614
137	0.1060329582
138	0.106012924
139	0.1059835304
140	0.1059138953
141	0.1058856671
142	0.1058562011
143	0.1058302639
144	0.1058035194
145	0.1057409409
146	0.1057108273
147	0.1056404437
148	0.1056112227
149	0.1055687864
150	0.1055439436
151	0.1055212836
152	0.1054751804
153	0.1054405464
154	0.1054069615
155	0.1053750682
156	0.1053356754
157	0.1053071135
158	0.1052836386
159	0.1052590358
160	0.1052363889
161	0.1052063128
162	0.1051672948
163	0.1051370598
164	0.1051138134
165	0.1050843984
166	0.1050546901
167	0.1050072692
168	0.104980607
169	0.1049550718
170	0.1049237613
171	0.1049009206
172	0.1048631284
173	0.1048341373
174	0.1047844201
175	0.1047578686
176	0.1047151711
177	0.1046938978
178	0.1046533974
179	0.1046127328
180	0.1045763983
181	0.1045524709
182	0.1045360918
183	0.1045140244
184	0.1044961192
185	0.1044656503
186	0.104423147
187	0.1043887261
188	0.1043527018
189	0.1043286986
190	0.1043054364
191	0.1042793574
192	0.1042478389
193	0.1042211607
194	0.104205598
195	0.1041807582
196	0.1041644038
197	0.10414534
198	0.1041041756
199	0.1040744014
200	0.1040536502
201	0.1040368159
202	0.1040195265
203	0.1040002184
204	0.1039749488
205	0.1039493153
206	0.1039320229
207	0.1038947352
208	0.1038723974
209	0.1038574511
210	0.1038364944
211	0.1038232647
212	0.1038009655
213	0.1037843809
214	0.103771543
215	0.1037532298
216	0.1037299859
217	0.1037120274
218	0.1036871019
219	0.1036697104
220	0.103657527
221	0.1036425466
222	0.1036262087
223	0.103607653
224	0.1035904424
225	0.1035574446
226	0.1035100175
227	0.103465076
228	0.1034470078
229	0.1034207416
230	0.103403059
231	0.1033868223
232	0.1033691921
233	0.1033347528
234	0.1033072734
235	0.1032958353
236	0.1032726221
237	0.1032560039
238	0.1032223409
239	0.1032090755
240	0.1031901328
241	0.1031666439
242	0.1031482222
243	0.1031270673
244	0.1031073705
245	0.103074159
246	0.103057031
247	0.1030342181
248	0.1030131487
249	0.1029998047
250	0.1029825734
251	0.1029538372
252	0.1029449494
253	0.1029208239
254	0.1029033102
255	0.1028871172
256	0.1028704515
257	0.1028521292
258	0.1028304832
259	0.1028082859
260	0.1027879014
261	0.1027692699
262	0.1027505547
263	0.1027317555
264	0.1027107253
265	0.1026990791
266	0.1026887066
267	0.1026720027
268	0.1026555684
269	0.102643992
270	0.1026202263
271	0.102610254
272	0.1025956025
273	0.1025784298
274	0.1025579008
275	0.1025402
276	0.1025207808
277	0.1025037815
278	0.1024869987
279	0.1024739561
280	0.1024591145
281	0.1024392693
282	0.1024230428
283	0.1024059473
284	0.102389652
285	0.1023810247
286	0.1023626762
287	0.1023501749
288	0.1023318475
289	0.1023144813
290	0.1023017213
291	0.1022883002
292	0.1022746575
293	0.1022653281
294	0.1022552752
295	0.1022413624
296	0.1022273659
297	0.1022061775
298	0.1021868747
299	0.1021684358
300	0.1021545176
301	0.1021398039
302	0.1021248702
303	0.1021139946
304	0.1021045902
305	0.1020904471
306	0.1020770242
307	0.1020615062
308	0.1020442846
309	0.10202922
310	0.1020185667
311	0.1020076551
312	0.1019978748
313	0.1019781217
314	0.1019635803
315	0.1019514702
316	0.1019366131
317	0.10191995
318	0.1019077711
319	0.1018905465
320	0.1018762733
321	0.1018595693
322	0.1018398474
323	0.1018302568
324	0.1018215087
325	0.101810405
326	0.1017943368
327	0.1017785157
328	0.1017626993
329	0.1017445085
330	0.1017320156
331	0.1017163405
332	0.1016943414
333	0.1016750105
334	0.101646786
335	0.1016277576
336	0.1016100931
337	0.1015964062
338	0.1015779258
339	0.1015658148
340	0.1015515456
