iter	Passed	Remaining
0	3	3408
1	6	3148
2	9	3084
3	12	3023
4	15	2985
5	18	3055
6	21	2998
7	23	2945
8	26	2934
9	29	2917
10	32	2943
11	35	2930
12	38	2903
13	40	2881
14	43	2862
15	46	2861
16	49	2864
17	52	2850
18	55	2846
19	57	2836
20	60	2824
21	63	2803
22	66	2804
23	68	2798
24	71	2781
25	73	2770
26	76	2760
27	79	2747
28	81	2743
29	84	2730
30	87	2728
31	89	2718
32	92	2711
33	95	2709
34	98	2712
35	101	2711
36	103	2704
37	106	2702
38	109	2697
39	112	2692
40	115	2696
41	117	2691
42	120	2684
43	123	2692
44	126	2683
45	129	2677
46	131	2675
47	134	2668
48	137	2662
49	139	2657
50	142	2651
51	145	2646
52	148	2645
53	150	2637
54	153	2631
55	155	2622
56	158	2617
57	160	2610
58	163	2608
59	166	2604
60	168	2600
61	171	2593
62	174	2589
63	176	2584
64	179	2578
65	182	2577
66	184	2574
67	188	2577
68	190	2575
69	193	2570
70	195	2563
71	198	2563
72	201	2556
73	204	2552
74	206	2551
75	209	2546
76	212	2543
77	214	2539
78	217	2535
79	220	2531
80	222	2527
81	225	2524
82	228	2520
83	231	2519
84	233	2518
85	236	2513
86	239	2509
87	241	2503
88	244	2500
89	246	2494
90	249	2491
91	251	2486
92	254	2481
93	257	2477
94	259	2473
95	262	2470
96	264	2466
97	267	2462
98	270	2459
99	272	2456
100	275	2452
101	278	2447
102	280	2443
103	283	2439
104	285	2435
105	288	2432
106	291	2429
107	293	2426
108	296	2423
109	299	2422
110	302	2420
111	304	2416
112	307	2413
113	310	2410
114	312	2407
115	315	2404
116	318	2402
117	320	2398
118	323	2395
119	326	2393
120	329	2390
121	331	2387
122	334	2384
123	336	2378
124	339	2375
125	342	2373
126	344	2369
127	347	2366
128	349	2361
129	352	2358
130	355	2354
131	357	2352
132	360	2349
133	363	2346
134	365	2343
135	368	2339
136	371	2338
137	374	2336
138	376	2333
139	379	2329
140	382	2327
141	384	2323
142	387	2321
143	389	2318
144	392	2315
145	395	2312
146	398	2311
147	401	2313
148	404	2310
149	407	2308
150	410	2305
151	412	2303
152	415	2301
153	418	2299
154	421	2296
155	423	2292
156	426	2289
157	429	2288
158	431	2284
159	434	2280
160	436	2276
161	439	2272
162	442	2269
163	444	2266
164	447	2262
165	449	2260
166	452	2257
167	455	2254
168	457	2251
169	460	2247
170	463	2245
171	465	2242
172	468	2239
173	471	2236
174	474	2234
175	476	2231
176	479	2229
177	482	2227
178	485	2224
179	487	2222
180	490	2221
181	493	2218
182	496	2218
183	499	2214
184	502	2211
185	504	2209
186	507	2207
187	510	2204
188	513	2204
189	516	2201
190	519	2198
191	521	2196
192	524	2193
193	527	2191
194	530	2188
195	532	2185
196	535	2182
197	538	2180
198	541	2177
199	543	2175
200	547	2174
201	549	2171
202	552	2168
203	555	2165
204	557	2162
205	560	2159
206	563	2159
207	566	2157
208	569	2154
209	572	2152
210	574	2148
211	577	2146
212	580	2143
213	582	2140
214	585	2137
215	588	2135
216	591	2134
217	594	2132
218	597	2131
219	600	2128
220	602	2125
221	605	2122
222	608	2119
223	611	2117
224	613	2114
225	616	2111
226	619	2109
227	622	2107
228	625	2104
229	628	2103
230	630	2099
231	633	2096
232	636	2093
233	639	2091
234	641	2089
235	644	2087
236	647	2084
237	650	2081
238	653	2079
239	655	2076
240	658	2073
241	661	2071
242	664	2068
243	666	2065
244	670	2065
245	673	2063
246	676	2061
247	679	2059
248	682	2057
249	684	2054
250	687	2051
251	690	2049
252	693	2047
253	696	2045
254	699	2043
255	702	2040
256	704	2037
257	707	2034
258	710	2032
259	713	2029
260	715	2026
261	718	2024
262	721	2020
263	723	2018
264	726	2015
265	729	2012
266	732	2010
267	734	2007
268	737	2004
269	740	2001
270	743	1998
271	745	1995
272	748	1992
273	751	1989
274	753	1987
275	756	1984
276	759	1982
277	762	1979
278	764	1976
279	767	1973
280	770	1970
281	773	1968
282	775	1965
283	778	1962
284	781	1959
285	783	1956
286	786	1954
287	789	1951
288	792	1949
289	795	1947
290	798	1945
291	802	1944
292	806	1945
293	809	1945
294	813	1943
295	815	1940
296	818	1937
297	821	1934
298	824	1932
299	827	1929
300	829	1926
301	832	1923
302	834	1920
303	837	1917
304	840	1914
305	843	1912
306	845	1908
307	848	1905
308	851	1903
309	854	1901
310	856	1898
311	859	1895
312	862	1893
313	865	1890
314	867	1887
315	870	1884
316	873	1882
317	877	1880
318	879	1877
319	882	1874
320	885	1872
321	887	1869
322	891	1868
323	894	1865
324	896	1862
325	899	1860
326	902	1857
327	905	1854
328	908	1852
329	910	1849
330	913	1846
331	916	1844
332	919	1841
333	922	1838
334	925	1836
335	928	1833
336	931	1831
337	933	1828
338	936	1825
339	939	1823
340	941	1820
341	945	1818
342	947	1815
343	950	1812
344	953	1809
345	956	1807
346	958	1804
347	961	1801
348	964	1798
349	967	1796
350	969	1793
351	972	1791
352	975	1788
353	978	1785
354	981	1783
355	984	1781
356	988	1780
357	992	1779
358	995	1777
359	998	1774
360	1005	1780
361	1039	1832
362	1046	1836
363	1052	1838
364	1054	1835
365	1057	1832
366	1060	1828
367	1063	1825
368	1065	1822
369	1068	1819
370	1071	1816
371	1074	1813
372	1076	1809
373	1079	1806
374	1082	1803
375	1084	1800
376	1087	1797
377	1090	1794
378	1093	1791
379	1095	1787
380	1098	1784
381	1101	1781
382	1103	1778
383	1106	1775
384	1109	1771
385	1111	1768
386	1114	1765
387	1117	1762
388	1120	1759
389	1123	1756
390	1125	1753
391	1128	1750
392	1131	1747
393	1133	1743
394	1136	1740
395	1138	1737
396	1141	1733
397	1144	1730
398	1146	1727
399	1149	1724
400	1152	1721
401	1155	1718
402	1158	1715
403	1161	1712
404	1163	1709
405	1166	1706
406	1169	1704
407	1173	1702
408	1175	1699
409	1178	1696
410	1181	1693
411	1184	1690
412	1186	1686
413	1189	1683
414	1192	1680
415	1194	1677
416	1197	1674
417	1200	1671
418	1202	1667
419	1205	1665
420	1208	1662
421	1211	1659
422	1214	1656
423	1217	1653
424	1219	1650
425	1222	1647
426	1225	1644
427	1227	1641
428	1230	1638
429	1233	1634
430	1235	1631
431	1238	1628
432	1241	1625
433	1243	1622
434	1246	1619
435	1249	1616
436	1252	1614
437	1256	1612
438	1260	1610
439	1263	1607
440	1266	1604
441	1268	1601
442	1271	1598
443	1274	1595
444	1277	1592
445	1279	1589
446	1282	1586
447	1285	1583
448	1288	1581
449	1291	1578
450	1293	1575
451	1296	1572
452	1299	1568
453	1301	1565
454	1305	1563
455	1307	1560
456	1310	1557
457	1313	1554
458	1316	1551
459	1318	1548
460	1321	1545
461	1324	1542
462	1327	1539
463	1329	1536
464	1332	1533
465	1335	1530
466	1338	1527
467	1340	1524
468	1343	1521
469	1346	1517
470	1348	1514
471	1351	1511
472	1354	1508
473	1356	1505
474	1359	1502
475	1361	1499
476	1364	1496
477	1367	1493
478	1370	1490
479	1372	1487
480	1375	1484
